,target_gene_symbol,target_id,affinity,SMILES
598,HTR2A,6,8.2,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2
599,HTR2A,6,8.5,COc1cccc(c1)CCc1ccccc1OCC(OC(=O)CCC(=O)O)CN(C)C
600,Htr2a,6,8.4,CO[C@@H]1CC[C@H](CC1)OC(=O)[C@H]1CN(C)[C@H]2[C@H](C1)c1cccc3c1c(C2)cn3C(C)C
601,HTR2A,6,7.300000191,CN1CCN(CC1)CC/C=C1/c2ccccc2Sc2c1cc(cc2)S(=O)(=O)N(C)C
602,Htr2a,6,7.95,Clc1cccc(c1)N1CCN(CC1)CCCn1nc2n(c1=O)cccc2
603,HTR2A,6,7.900000095,CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F
604,HTR2A,6,6.8,Clc1ccc2c(c1)[C@@H](C)CNCC2
605,Htr2a,6,9.9,Fc1ccc(cc1)N1CCN(CC1)CCCN1c2cccc3c2c(S1(=O)=O)ccc3
606,HTR2A,6,,[18F]c1ccc(cc1)C(=O)C1CCN(CC1)CCn1c(=S)[nH]c2c(c1=O)cccc2
607,HTR2A,6,,[11CH3]Oc1cccc(c1OC)[C@@H](C1CCN(CC1)CCc1ccc(cc1)F)O
608,HTR2A,6,7.260000229,CN1CCCCC1CCN1c2ccccc2Sc2c1cc(cc2)S(=O)C
609,HTR2A,6,7.159999847,CN1CCN2C(C1)c1ccccc1Cc1c2nccc1
610,HTR2A,6,8.239999771,CCc1nn(c(=O)n1CCOc1ccccc1)CCCN1CCN(CC1)c1cccc(c1)Cl
611,HTR2A,6,6.739999771,Cc1ccc(c(c1)C)Sc1ccccc1N1CCNCC1
612,Htr2a,6,8.68999958,O=C1N(C[C@@H]2CCCC[C@H]2CN2CCN(CC2)c2nsc3c2cccc3)C(=O)[C@@H]2[C@H]1[C@H]1CC[C@@H]2C1
613,Htr2a,6,4.739999771,O=C1N(CCCCN2CCN(CC2)c2nsc3c2cccc3)C(=O)[C@@H]2[C@H]1CCCC2
614,HTR2A,6,9.090000153,CCN1CCN(CC1)c1nc2CCCCCCc2c(c1)c1ccc(cc1)F
615,HTR2A,6,7.309999943,O=c1[nH]c2c(n1CCN1CCN(CC1)c1cccc(c1)C(F)(F)F)cccc2
616,HTR2A,6,9.300000191,CC(COc1ccc(cc1)CNC(=O)N(C1CCN(CC1)C)Cc1ccc(cc1)F)C
617,HTR2A,6,8.550000191,CCOc1ccc2c(c1)Sc1c(C2=C2CCN(CC2)C)c(OC)ccc1
618,HTR2A,6,6.21999979,COc1cc(N)c(cc1C(=O)NCC1CCN(CC1)CC[C@@H](c1ccc(cc1)F)OC(=O)N)Cl
619,HTR2A,6,9.100000381,[11CH3]N1CCN(CC1)c1cccc2c1ncc(c2)S(=O)(=O)c1cccc(c1)F
620,HTR2A,6,5.829999924,O=C(NC1CCCc2c1cccc2)CCCCCN1CCN(CC1)c1ccccc1c1ccccc1
621,HTR2A,6,6.489999771,CSc1ccccc1N1CCN(CC1)CCCCCC(=O)NC1CCCc2c1cccc2
622,HTR2A,6,9.300000191,Fc1ccc(cc1)C(=O)CCCN1CCC2C(C1)c1cccc3c1N2CCN3C
623,HTR2A,6,10.64999962,COc1ccccc1N1CCN(CC1)CCNC(=O)c1ccccn1
